/**************************************************************************
 *** Layout File                                                        ***
 ***                                                                    ***
 *** This file is designed to provide the necessary information so      ***
 *** that NCES survey response data may be used in other statistical    ***
 *** software packages. This file provides variable names, locations,   ***
 *** and short descriptions for all selected variables. Additionally,   ***
 *** for categorical variables, this file also contains the response    ***
 *** codes and value label descriptions.                                ***
 ***                                                                    ***
 *** Full sample weights, replicate weights, and identification         ***
 *** numbers are added automatically to the list of variables selected  ***
 *** by the EDAT and are included here.                                 ***
 *************************************************************************/

/* ASCII Dataset File Name */
NELS_88_00_BYF4STU

/* Total Record Length */
11541

/* Variable Names, Locations, and Descriptions */
STU_ID    1-7           Student ID
F2D70     3671-3672     # OF CIGARETTES R SMOKES PER DAY
F2D71A    3673-3673     # TIMES LIFETIME R DRANK ALCOHOL
F2D71B    3674-3674     # TIMES LAST 12 MONTHS R DRANK ALCOHOL
F2D71C    3675-3675     # TIMES LAST 30 DAYS R DRANK ALCOHOL
F2D72     3676-3677     5 OR MORE DRINKS IN LAST 2 WEEKS
F2D73A    3678-3678     # TIMES LIFETIME R USED MARIJUANA
F2D73B    3679-3679     # TIMES LAST 12 MONTHS R USED MARIJUANA
F2D73C    3680-3680     # TIMES LAST 30 DAYS R USED MARIJUANA
F2D74A    3681-3681     # TIMES LIFETIME R USED COCAINE
F2D74B    3682-3682     # TIMES LAST 12 MONTHS R USED COCAINE
F2D74C    3683-3683     # TIMES LAST 30 DAYS R USED COCAINE
F2D75A    3684-3684     # TIMES R INFLUENCE OF ALCOHOL AT SCHOOL
F2D75B    3685-3685     TIMES R INFLUENCE OF MARIJUANA AT SCHL
F2D75C    3686-3686     # TIMES R INFLUENCE OF COCAINE AT SCHOOL
F2D76AA   3687-3687     FATHER LIVES IN SAME HOUSE W/R
F2D76AB   3688-3688     STEPFATHER LIVES IN SAME HOUSE W/R
F2D76AC   3689-3689     OTHER ADULT MALE LIVES IN HOUSE W/R
F2D76AD   3690-3690     MOTHER LIVES IN SAME HOUSE W/R
F2D76AE   3691-3691     STEPMOTHER LIVES IN SAME HOUSE W/R
F2D76AF   3692-3692     ADULT FEMALE LIVES IN SAME HOUSE W/R
F2D76AG   3693-3693     HUSBAND/WIFE LIVES IN SAME HOUSE W/R
F2D76AH   3694-3694     BOY/GIRLFRIEND LIVES IN SAME HOUSE W/R
F2D76BA   3695-3696     # BROTHERS LIVE IN HOUSEHOLD
F2D76BB   3697-3698     # SISTERS LIVE IN HOUSEHOLD
F2D76BC   3699-3700     # OWN CHILDREN LIVE IN HOUSEHOLD
F2D76BD   3701-3702     # GRANDPARENTS LIVE IN HOUSEHOLD
F2D76BE   3703-3704     # RELATIVES UNDER 18 LIVE IN HOUSEHOLD
F2D76BF   3705-3706     # RELATIVES OVER 18 LIVE IN HOUSEHOLD
F2D76BG   3707-3708     # NONRELATIVES UNDER 18 LIVE IN HOUSEHLD
F2D76BH   3709-3710     # NONRELATIVES OVER 18 LIVE IN HOUSEHOLD
F2D77     3711-3711     R CARES FOR OWN CHILD AND OTHERS
F2D78     3712-3713     # HOURS PER DAY R CARES FOR CHILDREN
F2D79     3714-3714     # DAYS R MISS SCHL TO CARE FOR CHILDREN
F2D80A    3715-3715     LAST TWO YEARS MOVED TO NEW HOME
F2D80B    3716-3716     LAST TWO YEARS PARENTS DIVORCED
F2D80C    3717-3717     LAST TWO YEARS PARENTS RE/MARRIED
F2D80D    3718-3718     LAST TWO YEARS PARENT LOST JOB
F2D80E    3719-3719     LAST TWO TEARS PARENT STARTED WORK
F2D80F    3720-3720     LAST TWO YEARS PARENT GOT BETTER JOB
F2D80G    3721-3721     LAST TWO YEARS R BECAME ILL
F2D80H    3722-3722     LAST TWO YEARS PARENT DIED
F2D80I    3723-3723     LAST TWO YEARS RELATIVE DIED
F2D80J    3724-3724     LAST TWO YEARS SISTER PREGNANT
F2D80K    3725-3725     LAST TWO YEARS BROTHER DROPPED OUT
F2D80L    3726-3726     LAST TWO YEARS FAMILY WAS ON WELFARE
F2D80M    3727-3727     LAST TWO YEARS FAMILY WENT OFF WELFARE
F2D80N    3728-3728     LAST TWO YEARS FAMILY MEMBER ILL
F2D80O    3729-3729     LAST TWO YEARS FAMILY MEMBER DID DRUGS
F2D80P    3730-3730     LAST 2 YEARS FAMILY MEMBER IN DRUG REHAB
F2D80Q    3731-3731     LAST 2 YEARS FAMILY MEMBER CRIME VICTIM
F2D81A    3732-3732     WHO DECIDES HOW LATE R CAN STAY OUT
F2D81B    3733-3733     WHO DECIDES WHEN R USES THE CAR
F2D81C    3734-3734     WHO DECIDES IF R CAN HAVE A JOB
F2D81D    3735-3735     WHO DECIDES HOW R SPENDS MONEY
F2D81E    3736-3736     WHO DECIDES IF R DRINKS W/PARENTS
F2D81F    3737-3737     WHO DECIDES IF R DRINKS AT PARTIES
F2D81G    3738-3738     WHO DECIDES ON PUNISHMENT FOR DRUG USE
F2D81H    3739-3739     WHO DECIDES IF R GOES TO COLL/VOC SCHL
F2D82A    3740-3741     PARENTS TRUST R TO DO EXPECTED
F2D82B    3742-3743     R DOESN^T KNOW WHY MUST OBEY PARENTS
F2D82C    3744-3745     R COUNTS ON PARENTS TO SOLVE PROBLEMS
F2D82D    3746-3747     R IS A SOURCE OF PRIDE TO PARENTS
F2D82E    3748-3749     R^S PARENTS GET ALONG
F2D82F    3750-3751     R WANTS A FAMILY LIKE OWN
F2D83     3752-3752     LAST 2 YRS R RAN AWAY FOR WEEK +
F2D84A    3753-3754     AGE R LEFT ALONE WEEK +, 1ST TIME
F2D84B    3755-3755     R NEVER LEFT ALONE
F2D85     3756-3756     # TIMES R MOVED SINCE 01-01-88
F2D86     3757-3757     # TIMES R CHANGED SCHOOL SINCE 01-01-88
F2D87     3758-3758     DOES R CONSIDER HIM/HERSELF RELIGIOUS
F2D88     3759-3760     PAST YR,# TIMES ATTEND RELIGIOUS SERVICE
F2D89     3761-3761     ENGLISH R^S NATIVE LANGUAGE
F2D90A    3762-3762     R USES NATIVE LANGUAGE W/MOTHER
F2D90B    3763-3763     R USES NATIVE LANGUAGE W/FATHER
F2D90C    3764-3764     R USES NATIVE LANGUAGE W/SIBLINGS
F2D90D    3765-3765     R USES NATIVE LANGUAGE W/FRIENDS
F2D90E    3766-3766     R USES NATIVE LANGUAGE W/SPOUSE
F2D91A    3767-3767     HOW WELL R UNDERSTAND SPOKEN ENGLISH
F2D91B    3768-3768     HOW WELL R SPEAKS ENGLISH
F2D91C    3769-3769     HOW WELL R READS ENGLISH
F2D91D    3770-3770     HOW WELL R WRITES ENGLISH
F2D92A    3771-3771     R REC^D SPECIAL HELP IN SCHOOL
F2D92BA   3772-3772     HELP FROM INDIVIDUAL TUTOR
F2D92BB   3773-3773     HELP FROM A SMALL GROUP
F2D92BC   3774-3774     HELP FROM A LARGE GROUP
F2D92BD   3775-3775     HELP FROM ENGLISH AS A 2ND LANG
F2D92BE   3776-3776     HELP FROM BILINGUAL EDUC
F2D92CA   3777-3777     HELP AIDED ENGLISH UNDERSTANDING
F2D92CB   3778-3778     HELP AIDED ENGLISH SPEAKING
F2D92CC   3779-3779     HELP AIDED READING ENGLISH
F2D92CD   3780-3780     HELP AIDED WRITING ENGLISH
F2D93     3781-3781     R STAY IN SCHOOL IF ENGLISH BETTER
F2D94A    3782-3782     ENGLISH PROBLEM FOR GOOD GRADES
F2D94B    3783-3783     ENGLISH PROBLEM TO GET HIRED
F2D94C    3784-3784     ENGLISH PROBLEM FOR BETTER PAY
F2D94D    3785-3785     ENGLISH PROBLEM TO APPLY TO 4YR SCHL
F2D94E    3786-3786     ENGLISH PROBLEM TO APPLY TO 2YR SCHL
F2D94F    3787-3787     ENGLISH PROBLEM TO APPLY TO VOC SCHL
F2D94G    3788-3788     ENGLISH PROBLEM FOR ACCEPT AT 4YR SCHL
F2D94H    3789-3789     ENGLISH PROBLEM FOR ACCEPT AT 2YR SCHL
F2D94I    3790-3790     ENGLISH PROBLEM FOR ACCEPT AT VOC SCHL
F2D94J    3791-3791     ENGLISH PROBLEM FOR GOOD GRADES:4YR
F2D94K    3792-3792     ENGLISH PROBLEM FOR GOOD GRADES:2YR
BYSC6     3793-3795     NUMBER OF DAYS IN SCHOOL YEAR
BYSC7     3796-3797     CLASS PERIODS IN 8TH GRADE SCHOOL DAY
BYSC8     3798-3800     MINUTES PER EIGHTH GRADE CLASS
BYSC9H    3801-3802     LENGTH OF 8TH GRADE SCHOOL DAY - HOURS
BYSC9M    3803-3804     LENGTH OF 8TH GRADE SCHOOL DAY - MINUTES
BYSC11    3805-3807     PERCENT ATTENDENCE RATE FOR 8TH GRADERS
BYSC12    3808-3810     % OF 8TH GRADERS STILL ENROLLED AT EOY
BYSC13A   3811-3813     % OF AMERICAN INDIAN,ALASKAN 8TH GRADERS
BYSC13B   3814-3816     % OF ASIAN,PACIFIC ISLANDER 8TH GRADERS
BYSC13C   3817-3819     % OF HISPANIC 8TH GRADERS
BYSC13D   3820-3822     % OF BLACK NON-HISPANIC 8TH GRADERS
BYSC13E   3823-3825     % OF WHITE NON-HISPANIC 8TH GRADERS
BYSC14    3826-3827     % OF 8TH GRADERS IN SINGLE PARENT FAMILY
BYSC15    3828-3829     % OF 8TH GRADERS LIMITED ENGL PROFICIENT
BYSC16B   3830-3833     PERCENT OF STUDENTS IN REMEDIAL READING
BYSC16C   3834-3837     PERCENT OF STUDENTS IN REMEDIAL MATH
BYSC16D   3838-3841     PCT OF STUDENTS IN BILINGUAL EDUCATION
BYSC16E   3842-3845     PCT OF STUDENTS IN ENGLISH AS 2ND LANG
BYSC16F   3846-3849     PERCENT OF STUDENTS IN SPECIAL ED
BYSC16G   3850-3853     PCT OF STUDENTS IN GIFTED,TALENTED ED
BYSC16H   3854-3857     PERCENT OF  STUDENTS IN JOB TRAINING
BYSC17    3858-3860     NO. OF FULL TIME REGULAR TEACHERS
BYSC18    3861-3861     MAJOR SCHOOL ORGANIZATION FOR 8TH GRADRS
BYSC19    3862-3866     BASE SALARY FOR BEGINNING TEACHER W/ BA
BYSC20A   3867-3869     NO. OF AMERICAN INDIAN,ALASKAN TEACHERS
BYSC20B   3870-3872     NO. OF ASIAN,PACIFIC ISLANDER TEACHERS
BYSC20C   3873-3875     NO. OF HISPANIC TEACHERS
BYSC20D   3876-3878     NO. OF BLACK, NON-HISPANIC TEACHERS
BYSC20E   3879-3881     NO. OF WHITE, NON-HISPANIC TEACHERS
BYSC21    3882-3884     NO. FULL TIME TEACHERS WITH GRAD DEGREE
BYSC22    3885-3887     NO. TEACHERS TEACHING LEP, ESL, ETC.
BYSC23    3888-3888     REG TEACHING STAFF COVERED BY COLL BARG
BYSC24A   3889-3889     ALL PUPILS IN DISTRICT ATTEND SCHOOL
BYSC24B   3890-3890     PUPILS IN DIST. ASSIGNED, TRANS. ALLOWED
BYSC24C   3891-3891     PUPILS ASSIGNED FOR RACIAL/ETHNIC COMP.
BYSC24D   3892-3892     PUPILS ASSIGNED BASED ON ENTRANCE TEST
BYSC24E   3893-3893     OTHER PRACTICE FOR ASSIGMENT
BYSC24F   3894-3894     PRIVATE SCHOOL, DOES NOT APPLY
BYSC25    3895-3895     SCHOOL HAS FORMAL ADMISSION PROCEDURES
BYSC26    3896-3899     NO. STUDENTS WHO APPLIED FOR ADMISSION
BYSC27    3900-3903     NO. OF STUDENTS WHO WERE ACCEPTED
BYSC28A   3904-3904     STANDARDIZED TEST USED IN ADMISSION
BYSC28B   3905-3905     WRITTEN ADMISSION TEST USED
BYSC28C   3906-3906     PERSONAL INTRVW W/PARENT USED IN ADMISSN
BYSC28D   3907-3907     PERSONL INTRVW W/STUDENT USED IN ADMISSN
BYSC28E   3908-3908     FORMER PRINCPL^S RECOMND. USED IN ADMISN
BYSC28F   3909-3909     FORMER TEACHER^S RECOMND. USED IN ADMISN
BYSC28G   3910-3910     FRIEND^S RECOMMENDATION USED IN ADMISSN
BYSC28H   3911-3911     STRONG ACADEMIC RECORD USED IN ADMISSION
BYSC29    3912-3912     MIN. GPA REQUIRD TO PARTIC IN ACTIVITIES
BYSC30    3913-3913     IS THIS A PUBLIC SCHOOL
BYSC31    3914-3918     MAXIMUM YEARLY TUITION
BYSC32    3919-3919     % OF STUDENTS PAYING MAXIMUM TUITION
BYSC33    3920-3922     % STUDENTS SCHL PROVIDES FINANCIAL AID
BYSC34    3923-3923     ABILITY TO PAY CONSIDERED IN ADMISSION
BYSC35    3924-3924     STDIZED TESTS USED TO ASSIGN HS COURSES
BYSC36A   3925-3925     COUNSELORS INFLUENCE ASSIGNNG HS COURSES
BYSC36B   3926-3926     TEACHERS INFLUENCE ASSIGNING HS COURSES
BYSC36C   3927-3927     PARENTS INFLUENCE ASSIGNING HS COURSES
BYSC36D   3928-3928     TEST SCORES INFLUENCE ASSIGNNG HS COURSE
BYSC37    3929-3929     STDIZED TEST RESULTS PROV. TO FAMILIES
BYSC38A   3930-3930     8TH GRADERS RETAINED: FAILED READING TST
BYSC38B   3931-3931     8TH GRADERS RETAINED: FAILED MATH TEST
BYSC38C   3932-3932     8TH GRADERS RETAINED: FAILED SCIENCE TST
BYSC38D   3933-3933     8TH GRADERS RETAINED: FAILED HISTORY TST
BYSC38E   3934-3934     8TH GRADERS RETAINED:FAILED SOC STUD TST
BYSC38F   3935-3935     8TH GRADERS RETAINED: FAILED ENGLISH TST
BYSC38G   3936-3936     8TH GRADERS RETAIND:FAILD ANY REQ COURSE
BYSC39A   3937-3937     INSTRUCTION REQUIRED FOR ENGLISH/READING
BYSC39B   3938-3938     INSTRUCTION REQUIRED FOR MATHEMATICS
BYSC39C   3939-3939     INSTRUCTION REQUIRED FOR SCIENCE
BYSC39D   3940-3940     INSTRUCTION REQUIRED FOR HISTORY
BYSC39E   3941-3941     INSTRUCTION REQUIRED FOR SOCIAL STUDIES
BYSC39F   3942-3942     INSTRUCTION REQUIRED FOR COMPUTER ED
BYSC39G   3943-3943     INSTRUCTION REQUIRED FOR FOREIGN LANG
BYSC39H   3944-3944     INSTRUCTION REQUIRED FOR ART
BYSC39I   3945-3945     INSTRUCTION REQUIRED FOR MUSIC
BYSC39J   3946-3946     INSTRUCTION REQUIRED FOR PHYSICAL ED
BYSC39K   3947-3947     INSTRUCTION REQUIRED FOR FAM LIFE/SEX ED
BYSC39L   3948-3948     INSTRUCTION REQUIRED FOR MORAL/ETHICS ED
BYSC39M   3949-3949     INSTRUCTION REQUIRED FOR RELIGIOUS ED
BYSC40    3950-3950     GIFTED AND TALENTED PROG FOR 8TH GRADERS
BYSC41A   3951-3951     GIFTED/TALENTED PROGRAM COVERS MATH
BYSC41B   3952-3952     GIFTED/TALENTED PROGRAM COVERS SCIENCE
BYSC41C   3953-3953     GIFTED/TALENTED PROGRAM COVERS ENGLISH
BYSC41D   3954-3954     GIFTED/TALENTED PROGRAM COVERS SOC STUD
BYSC41E   3955-3955     GIFTED/TALENTED PROG COVERS FOREIGN LANG
BYSC41F   3956-3956     GIFTED/TALENTED PROG COVERS COMPUTER SCI
BYSC41G   3957-3957     GIFTED/TALENTED PROGRAM COVERS MUSIC
BYSC41H   3958-3958     GIFTED/TALENTED PROGRAM COVERS ART
BYSC41I   3959-3959     GIFTED/TALENTED PROGRAM COVERS OTHER
BYSC42    3960-3960     GIFTED PROG TAKES PLACE IN SCHL/OUTSIDE
BYSC43    3961-3961     ORGANIZATION OF GIFTED/TALENTED PROG
BYSC44A   3962-3962     GIFTED SELECTION:SCORES ON STDIZED EXAMS
BYSC44B   3963-3963     GIFTED SELECTION:ADDITIONAL TEST RESULTS
BYSC44C   3964-3964     GIFTED SELECTION:TEACHER/COUNSELOR RECOM
BYSC44D   3965-3965     GIFTED SELECTION: PARENTAL REQUESTS
BYSC44E   3966-3966     GIFTED SELECTION: SCHOOL GRADES
BYSC44F   3967-3967     GIFTED SELECTION:OPPTNTIES-RACIAL/ETHNIC
BYSC44G   3968-3968     GIFTED SELECTION: PERSONAL INTERVIEW
BYSC44H   3969-3969     GIFTED SELECTION: STUDENT REQUESTS
BYSC44I   3970-3970     GIFTED SELECTION: OTHER FACTOR
BYSC45A   3971-3971     8TH GRADE ENGLISH TAUGHT TO LEP STUDENTS
BYSC45B1  3972-3972     ENGLISH/READING TAUGHT NON-ENGLISH LANG
BYSC45B2  3973-3973     MATHEMATICS TAUGHT IN NON-ENGLISH LANG
BYSC45B3  3974-3974     SCIENCE TAUGHT IN NON-ENGLISH LANGUAGE
BYSC45B4  3975-3975     SOCIAL STUDIES TAUGHT NON-ENGLISH LANG
BYSC45C1  3976-3976     ACADEMIC SUBJECTS TAUGHT IN FRENCH
BYSC45C2  3977-3977     ACADEMIC SUBJECTS TAUGHT IN SPANISH
BYSC45C3  3978-3978     ACADEMIC SUBJECTS TAUGHT IN OTHER LANG
BYSC45D   3979-3979     8TH GRADE FOREIGN LANG COURSES OFFERED
BYSC46A   3980-3980     ACADEMIC HONOR SOCIETY AVAIL TO 8TH GRDR
BYSC46B   3981-3981     BAND AVAILABLE TO 8TH GRADERS
BYSC46C   3982-3982     CHORUS OR CHOIR AVAIL TO 8TH GRADERS
BYSC46D   3983-3983     COMPUTER CLUBS AVAILABLE TO 8TH GRADERS
BYSC46E   3984-3984     DRAMA CLUBS AVAILABLE TO 8TH GRADERS
BYSC46F   3985-3985     SERVICE CLUBS AVAILABLE TO 8TH GRADERS
BYSC46G   3986-3986     MATH CLUB AVAILABLE TO 8TH GRADERS
BYSC46H   3987-3987     SCIENCE CLUB AVAILABLE TO 8TH GRADERS
BYSC46I   3988-3988     HISTORY CLUBS AVAILABLE TO 8TH GRADERS
BYSC46J   3989-3989     OTHER SUBJ MATTER CLUB AVAIL TO 8TH GRDR
BYSC46K   3990-3990     SCIENCE FAIRS AVAILABLE TO 8TH GRADERS
BYSC46L   3991-3991     STUDENT COUNCIL AVAILABLE TO 8TH GRADERS
BYSC46M   3992-3992     STUDENT NEWSPAPER AVAILABLE TO 8TH GRDRS
BYSC46N   3993-3993     STUDENT YEARBOOK AVAILABLE TO 8TH GRADRS
BYSC46O   3994-3994     FOREIGN LANGUAGE CLUBS AVAIL TO 8TH GRDR
BYSC46P   3995-3995     ORCHESTRA AVAILABLE TO 8TH GRADERS
BYSC46Q   3996-3996     RELIG ORGANIZATIONS AVAIL TO 8TH GRADERS
BYSC46R   3997-3997     DEBATE/SPEECH TEAMS AVAIL TO 8TH GRADERS
BYSC46S   3998-3998     INTERSCHOLASTIC SPORTS AVAIL TO 8TH GRDR
BYSC46T   3999-3999     INTRAMURAL SPORTS AVAIL TO 8TH GRADERS
BYSC46U   4000-4000     VOCATIONAL ED CLUBS AVAIL TO 8TH GRADERS
BYSC46V   4001-4001     CHEERLEADING, ETC. AVAIL TO 8TH GRADERS
BYSC47A   4002-4002     CONFLICT BETWN TEACHERS & ADMINISTATORS
BYSC47B   4003-4003     DISCIPLINE IS EMPHASIZED AT THIS SCHOOL
BYSC47C   4004-4004     STUDENTS PLACE A PRIORITY ON LEARNING
BYSC47D   4005-4005     CLASSROOM ENVIRONMENT IS STRUCTURED
BYSC47E   4006-4006     TEACHERS ENCOURAGE STUDENTS TO DO BEST
BYSC47F   4007-4007     STUDENTS ARE EXPECTED TO DO HOMEWORK
BYSC47G   4008-4008     TEACHER MORALE IS HIGH
BYSC47H   4009-4009     TEACHERS HV NEG ATTITUDE ABOUT STUDENTS
BYSC47I   4010-4010     TEACHERS HV DIFFICULTY MOTIVATNG STUDNTS
BYSC47J   4011-4011     SCHOOL DAY FOR STUDENTS IS STRUCTURED
BYSC47K   4012-4012     DEVIATION FR SCHOOL RULES NOT TOLERATED
BYSC47L   4013-4013     SCHOOL ENVIRONMENT IS ^FLEXIBLE^
BYSC47M   4014-4014     TEACHERS RESPOND TO INDIVIDUAL NEEDS
BYSC47N   4015-4015     SCHOOL EMPHASIZES SPORTS
BYSC47O   4016-4016     STUDENTS FACE COMPETITION FOR GRADES
BYSC48A   4017-4017     VISITORS REQUIRED TO SIGN IN MAIN OFFICE
BYSC48B   4018-4018     HALL PASSES REQUIRED TO VISIT LIBRARY
BYSC48C   4019-4019     HALL PASSES REQUIRED TO VISIT LAVATORY
BYSC48D   4020-4020     HALL PASSES REQUIRED TO VISIT OFFICE
BYSC48E   4021-4021     HALL PASSES REQUIRED TO VISIT COUNSELOR
BYSC48F   4022-4022     ACADEMIC COUNSELING FOR STUDENTS EXISTS
BYSC48G   4023-4023     BEHAVIORAL PROB COUNSELING FOR STUDENTS
BYSC48H   4024-4024     VOCATIONAL COUNSELNG FOR STUDENTS EXISTS
BYSC48I   4025-4025     STUDENT UNIFORM REQUIRED
BYSC48J   4026-4026     CERTAIN FORMS OF DRESS FORBIDDEN
BYSC48K   4027-4027     STUDENTS CAN^T LEAVE GROUNDS DUR SCH HRS
BYSC49A   4028-4028     DEGREE STUDENT TARDINESS IS A PROBLEM
BYSC49B   4029-4029     DEGREE STUDENT ABSENTEEISM IS A PROBLEM
BYSC49C   4030-4030     DEGREE STUDENT CLASS CUTTING IS A PROB
BYSC49D   4031-4031     DEGREE STUDENT PHYS CONFLICTS ARE A PROB
BYSC49E   4032-4032     DEGREE ROBBERY OR THEFT IS A PROBLEM
BYSC49F   4033-4033     DEGREE VANDALISM IS A PROBLEM
BYSC49G   4034-4034     DEGREE STUDENT ALCOHOL USE IS A PROBLEM
BYSC49H   4035-4035     DEGREE STUDENT ILLEG DRUG USE IS A PROB
BYSC49I   4036-4036     DEGREE STUDENT WEAPONS ARE A PROBLEM
BYSC49J   4037-4037     DEGREE PHYS ABUSE OF TEACHERS IS A PROB
BYSC49K   4038-4038     DEGREE VERBAL ABUSE OF TEACHRS IS A PROB
BYSC50AA  4039-4039     ACTION FOR CHEATING: 1ST OCCURRENCE
BYSC50AB  4040-4040     ACTION FOR INJURY TO OTH STUD:1ST OCCUR
BYSC50AC  4041-4041     ACTION FOR ALCOHOL POSS.: 1ST OCCURRENCE
BYSC50AD  4042-4042     ACTION FOR DRUG POSS.: 1ST OCCURRENCE
BYSC50AE  4043-4043     ACTION FOR WEAPON POSS.: 1ST OCCURRENCE
BYSC50AF  4044-4044     ACTION FOR ALCOHOL USE: 1ST OCCURRENCE
BYSC50AG  4045-4045     ACTION FOR ILLEG DRUG USE: 1ST OCCURRNCE
BYSC50AH  4046-4046     ACTION FOR SMOKING: 1ST OCCURRENCE
BYSC50AI  4047-4047     ACTION FOR VERBAL ABUSE OF TCHR: 1ST OCC
BYSC50AJ  4048-4048     ACTION FOR INJURY TO TCHR: 1ST OCCURRNCE
BYSC50AK  4049-4049     ACTION FOR THEFT OF SCHL PROP: 1ST OCC
BYSC50AL  4050-4050     ACTION FOR CLASSRM DISTURBANCE: 1ST OCC
BYSC50AM  4051-4051     ACTION FOR PROFANITY: 1ST OCCURRENCE
BYSC50BA  4052-4052     ACTION FOR CHEATING:REPEATED OCCURRENCES
BYSC50BB  4053-4053     ACTION FOR INJURY TO OTH STUD:REP OCCUR
BYSC50BC  4054-4054     ACTION FOR ALCOHOL POSS.:REP OCCURRENCES
BYSC50BD  4055-4055     ACTION FOR DRUG POSS.: REP OCCURRENCES
BYSC50BE  4056-4056     ACTION FOR WEAPON POSS.: REP OCCURRENCES
BYSC50BF  4057-4057     ACTION FOR ALCOHOL USE: REP OCCURRENCES
BYSC50BG  4058-4058     ACTION FOR ILLEG DRUG USE: REP OCCURRNCS
BYSC50BH  4059-4059     ACTION FOR SMOKING: REPEATED OCCURRENCES
BYSC50BI  4060-4060     ACTION FOR VERBAL ABUSE OF TCHR: REP OCC
BYSC50BJ  4061-4061     ACTION FOR INJURY TO TCHR: REP OCCURRNCE
BYSC50BK  4062-4062     ACTION FOR THEFT OF SCHL PROP: REP OCC
BYSC50BL  4063-4063     ACTION FOR CLASSRM DISTURBANCE: REP OCC
BYSC50BM  4064-4064     ACTION FOR PROFANITY: REP OCCURRENCES
G8SUBS    4065-4066     SUBJECT CODES
BYSCORG2  4067-4067     SCHOOL ORGANIZATION COMPOSITE
BYRATIO   4068-4069     COMPOSITE STUDENT-TEACHER RATIO
F1C6      4070-4070     TYPE OF ACADEMIC CALENDAR R^S SCHOOL HAS
F1C7      4071-4073     # OF DAYS IN SCHOOL YR FOR 10TH GRADERS
F1C8      4074-4075     # CLASS PERIODS IN DAY FOR 10TH GRADERS
F1C9      4076-4078     # OF MINUTES OF AVERAGE CLASS PERIOD
F1C10     4079-4079     IS R^S SCHOOL COEDUCATIONAL?
F1C11A    4080-4082     % 10TH GRD STUDENTS IN GENERAL H.S. PROG
F1C11B    4083-4085     % 10TH GRD STUDNTS IN COLL PREP,ACAD PRG
F1C11C2   4086-4088     % 10TH GRD STUS IN AGRICULTURL OCCUPATNS
F1C11C3   4089-4091     % 10TH GR STUS IN BUSINESS/OFC OCCUPATNS
F1C11C4   4092-4094     % 10TH GR STUS IN MARKETNG/DISTRIBUTV ED
F1C11C5   4095-4097     % 10TH GRD STUDNTS IN HEALTH OCCUPATIONS
F1C11C6   4098-4100     % 10TH GR STUS IN HOME ECON OCCUPATIONS
F1C11C7   4101-4103     % 10TH GR STUS IN CONSUMER/HOMEMAKNG ED
F1C11C8   4104-4106     % 10TH GRD STUS IN TECHNICAL OCCUPATIONS
F1C11C9   4107-4109     % 10TH GR STUS IN TRADE/INDUSTRIAL OCCUP
F1C11C10  4110-4112     % 10TH GR STUS IN OTH SPECIALIZD PROGRMS
F1C11D    4113-4115     % 10TH GR STUS IN OTH OCCUPATNL PROGRAMS
F1C12A    4116-4117     % OF STUDENTS WHO USED INDOOR LOUNGE
F1C12B    4118-4119     % STUS WHO USED DESIGNATED SMOKING AREA
F1C12C    4120-4121     % OF STUDNTS WHO USED CAREER INFO CENTER
F1C12D    4122-4123     % WHO USED OCCUPATIONAL TRAINING CENTER
F1C12E    4124-4125     % STUDENTS WHO USED COMPUTER CENTER/LAB
F1C12F    4126-4127     % STUS USING MEDIA PRODUCTION FACILITIES
F1C12G    4128-4129     % STUDNTS USING REMEDIAL READNG/MATH LAB
F1C12H    4130-4131     % WHO USED SUBJECT AREA RESOURCE CENTER
F1C12I    4132-4133     % WHO USED IN-HOUSE SUSPENSION CENTER
F1C12J    4134-4135     % OF STUDENTS WHO USED HEALTH CLINIC
F1C12K    4136-4137     % STUDENTS WHO USED BIRTH CONTROL CLINIC
F1C12L    4138-4139     % WHO USED NURSERY FOR THEIR CHILDREN
F1C12M    4140-4141     % OF STUDENTS WHO USED STUDENT CAFETERIA
F1C13A    4142-4143     % IN SCHOOL-SPONSORED COMMUNITY SERVICE
F1C13B    4144-4145     % IN WORK STUDY PROGRAM
F1C13C    4146-4147     % IN ACADEMIC COUNSELING PROGRAM
F1C13D    4148-4149     % IN VOCATIONAL COUNSELING PROGRAM
F1C13E    4150-4151     % IN STUDENT FOREIGN EXCHANGE PROGRAM
F1C13F    4152-4153     % IN DROPOUT PREVENTION PROGRAM
F1C13G    4154-4155     % IN GANG PREVENTION PROGRAM
F1C13H    4156-4157     % IN ALCOHOL/DRUG PREVENTION PROGRAM
F1C13I    4158-4159     % IN AIDS EDUCATION PROGRAM
F1C13J    4160-4161     % IN CRISIS PREVENTION PROGRAM
F1C14     4162-4162     SCHOOL HAS A COMMUNITY SERVICE PROGRAM
F1C15     4163-4164     HRS PER WEEK SPENT VOLUNTEERING ON SITE
F1C16     4165-4165     ACADEMIC CREDIT FOR PROGRM PARTICIPATION
F1C17A    4166-4167     % RECEIVING TEACHER/PARENT CONFERENCES
F1C17B    4168-4169     % RECEIVING HOME VISITS BY TEACHERS
F1C17C    4170-4171     % RECEIVING PSYCHOLOGICAL COUNSELING
F1C17D    4172-4173     % RECEIVING FAMILY COUNSELING
F1C17E    4174-4175     % RECEIVING TUTORING BY TEACHERS
F1C17F    4176-4177     % RECEIVING PEER TUTORING
